ID,Character,Gender,Turkish,MSA,Syrian_Arabic
658,Zeynep,Female,Al işte gördün mü sevdiğin adamı?,ها، هل رأيتِ الرجل الذي تحبينه؟,انتي شفتي الرجال يلي حبيتيه
659,Pelin,Female,"Ben benim asistanıma söylerim,  sana broşürleri yollar.",سأطلب من مساعدتي إرسال الكتيبات إليك.,أنا رح ابعت خبر للسكرتيرة، مشان تبعتلك البروشورات
660,Pelin,Female,Sen boş bir vaktinde onları incelersin.,يمكنك دراستها في وقت فراغك.,وانت بتشوفهن وبتقرر يلي بدك ياه
661,Selim,Male,"Tamam.  Ee, ben şuraya bazı eksiklikler not almıştım.  Bir de sen bak istersen.",حسناً. إي، لقد سجلت بعض النواقص هنا، ربما تودين النظر فيها.,تمام، أأأ، شوفي تقريبا أنا جهزت كل الميزانية عطيني رأيك
662,Cevahir,Male,"O hırsız kimseyi hemen çıkartsın, koysun parayı.",دع ذاك السارق يظهر فورًا ويعيد الأموال.,بنصحكن تخلوا الحرامي يرجع المصاري
663,Cevahir,Male,Ne yapıyorsun sen be?  Daha bunamadım ben.  Bana bak.,ماذا تظن أنك تفعل؟ لم أُصاب بالخرف بعد. أنظر إليّ.,شو هالحكي الفاضي؟ لسا أنا ما خرفت
664,Arkut,Male,"Ne güzel açtın gözlerini, sevindirdin beni",يا لها من عينين فتحتها، جعلتني سعيداً,صدقيني كتير فرحت لما فتحتي عيونك
665,Cevahir,Male,Sen mi aldın benim paramı?  Konuşsana çocuk!,هل أخذت نقودي؟ تحدث أيها الصغير! ,انت الي أخدتلي مصاريي ؟
666,DOCTOR A 508,Male,Lütfen burada beklemeye devam edin.,يرجى البقاء هنا. ,لو سمحت ، ممكن تضل هون
667,Cevahir,Male,Konuşsana çocuk!  Sen mi aldın lan benim paramı?,تحدث أيها الصغير! هل أخذت نقودي يا ولد؟ ,يلا قول يا ولد ، انت يلي سرقتلي مصاريي؟
668,Cevahir,Male,bağırıyor.  Masamın üstünde duran parayı sen mi aldın?  Ne oluyor Cemil?,يصرخ. هل أخذت النقود التي على طاولتي؟ ماذا يحدث يا جميل؟ ,و صدقني اذا بتعترف ، و بترجعلي المصاري بهاللحظة ما رح حاسبك
669,Fatin,Female,Ne olmuş bu olay peki?  Ya sen,"ماذا حدث في هذه الحالة إذاً؟
",طيب ايمتا صار هادا الشي ؟
670,Selim,Male,O zaman senden haber bekliyorum ben.,إذن أنتظر منك خبراً. ,معناتا عم بستنى خبر منك
671,Pelin,Female,Yani Zeynep en ufak bir şeyde evi terk edip gidecek bir kız değildir.  Bunu sen çok iyi biliyorsun.  Anla.,زينب ليست من النوع الذي يترك البيت لأبسط الأمور. أنت تعرف ذلك جيداً. ,بس زينب ، مو من البنات يلي ممكن تطلع من البيت من مشكلة صغيرة ، و انت بتعرف هالشي منيح
672,Cevahir,Male,Sen hangi ara geldin de aldın o parayı?,متى أتيت لأخذ النقود؟ ,انتي ايمتا اجيتي و أخدتي المصاري ؟
673,Cevahir,Male,Sen hangi ödemeden bahsediyorsun?  E tedarikçi.,عن أي دفعة تتحدثين؟ يا مورد. ,عن أي دفعة انتي عم تحكي؟
674,Fatin,Female,Ya siz ödeme deyince ben de hemen gidip tedarikçinin  ödemesini halledeyim de çıksın bari aradan dedim.  Neyse.,عندما ذكرتم الدفع، قلت لنفسي لأذهب وأحل مدفوعات المورد لكي نخرج منها على الأقل. على أي حال. ,لما حكيت عن الدفعات ، انا ،  فكرت فورا انو المصاري المورد ، أخدتن و عطيتو ياهن
675,Cevahir,Male,Mesele halledildiğine göre herkes işinin başına dönsün.  Hadi.,بما أن المسألة تمت، فليرجع كل شخص لعمله. هيا. ,بما انو انفهم الموضوع كل واحد يرجع عشغلو ، يلا
676,Behriye,Female,Senin dilin yine çok uzadı.,لسانك طال من جديد. ,لسانك صار طويل زيادة
677,Melek,Female,Hadi herkes çalışmaya devam etsin.,هيا، دعوا الجميع يستمر في العمل. ,يلا كل وحدة ترجع على شغلا
678,Ümit,Male,Evet siz satışa bir önce başlayın acele edin.,نعم، ابدأوا في البيع في أقرب وقت  أسرعوا. ,أي لازم نبيع كلشي بأسرع وقت
679,Asuman,Female,Aa sonra kim acısın ki zaten?  Cık!,آه، ومن سيرحم لاحقًا على أي حال؟ لا! ,شو كنتي متوقعه يعني ؟
680,Asuman,Female,Bir daha gitmeyeceksin o zaman değil mi?  Buradasın yani.,إذاً لن تذهب ثانية، أليس كذلك؟ يعني أنت هنا. ,يعني رح تضلي هون و ماعد تسافري؟
681,Asuman,Female,Şey ya ben beş dakika içinde hemen toparlarım.  Sen şey yapma geç otur böyle ben hallederim.,سأقوم بترتيب كل شيء في خمس دقائق. لا تقلقي، اجلسي هكذا، سأهتم به. ,انتي لا تاكلي هم ، انا بخمس دقايق برتب المكان انتي فوتي ارتاحي جوا
682,Arzu,Female,Bu evin hali ne ya?  Ben sana evi böyle mi bıraktım?,ما هو حال هذا البيت؟ هل تركته لك هكذا؟ ,معقولة هالحالة هي ؟ ، مو هادا البيت بأمانتك ؟
683,Ümit,Male,Ben senin için kendimi kaç kez ateşe attım.,كم مرة ألقيت بنفسي في النار من أجلك. ,انا خاطرت بكتير شغلات مشانك
684,Tülay,Female,Biz siz barışın diye aranız düzeltsin  diye yaptık yani kötü bir niyetimiz var.,"فعلنا ذلك لتصالحكم، لدينا نية سيئة.
",صدقيني ، ساوينا هيك ، مشان تتصالحوا و تزبط علاقتكن ما كانت نيتنا سيئة
685,Arzu,Female,Dursun Bey ben size bir şey soracağım,سيد دورسن، سأطرح عليك سؤالاً ,طيب انا بدي اسألك عن شي
686,Elif,Female,"Anne,  bir dakika bulamadın mı?",أمي، دقيقة، ألم تجديه؟,أمي بترجاكي بس دقيقة
687,Aliya,Female,Haklısın.  Kaş yapalım derken göz çıkarttık.,معك حق. أردنا أن نصلح الأمور وزدنا الطين بلة.,معن حق ، الظاهر انو ما كان لازم نتدخل بهالموضوع
688,İnci,Female,Aha Elif abla geldin mi?,آه، هل وصلتِ يا أختي ألف؟,آه آه آه أخيرا انتي اجيتي أليف ؟
689,Aliya,Female,Ay kurban olurum ben senin o minik ellerine.,يا، أضحي بك لأجل يديك الصغيرتين. ,انا بفديكي بروحي ، تسلمي لقلبي
690,Tülay,Female,Ama bak yapma böyle.  Sen böyle üzüldükçe benim içim parçalanıyor.,ولكن انظري، لا تفعلي هذا.  كلما كنتِ حزينة، ينشطر قلبي. ,بس ، رجاء لا تساوي هيك ، لما شوفك زعلانه و مهمومة بيتقطع قلبي
691,Melek,Female,Ee ısınılsın bakalım biraz daha.,حسناً، لنقم بالتدفئة قليلاً بعد. ,اييييه ، انشالله دفيتوا شوي هلق ؟
692,Melek,Female,Hakkıcığım sen büyüyünce ne olmak istiyorsun bakayım?,عزيزي حقي، ماذا تريد أن تصبح عندما تكبر؟ ,حقي ، انت شو بتحب تصير بالمستقبل؟
693,Hakkı,Male,Nasıl yani?  Annenlere ne diyeceksin peki?,ماذا تقصد؟ وماذا ستقول لأمك؟ ,كيف يعني ؟ ، بعدين انتي شو رح تقولي لأمك؟
694,Hakkı,Male,Ama eğer benim gitmediğimi anlarsan sana kızmazlar mı?,لكن إذا اكتشفوا أنني لم أذهب، ألا يلومونك؟ ,طيب اذا عرفوا انو انتي خبيتيني هون ، وقتا ما بعصبوا عليكي ؟
695,Elif,Female,"Hakkı, Hakkı bak, sana getirdim.",حقي، حقي انظر، لقد أحضرت لك. ,حقي ، انت عم تشوف؟ ، جبتلك جاتو
696,Melek,Female,Eee ne misin buraya koyduğunu?,لا أتذكر ما إذا كنت قد وضعت شيء هنا؟ ,ايه ، اكيد حطيتيهن هون .؟
697,Aliya,Female,Bak azıcık içimiz ısınsın diye çay demleyeyim dedim.,فكرت أن أقوم بتحضير الشاي قليلاً لتدفء قلوبنا. ,حتى ، شوفي حطيت الابريق عالغاز لساوي شاي
698,Melek,Female,Hadi sen de geç içeri.  Otur dinlen biraz.  Ben demlerim çayı.,هيا ادخلي واستريحي قليلاً. سأقوم بتحضير الشاي. ,يلا انتي روحي على الصالون ، اقعدي وارتاحي وانا بساوي الشاي
699,Aliya,Female,Hadi sen de üstüne bir şey alışıltma çok soğuk burası.,هيا، ارتدي شيئًا، الجو هنا شديد البرودة. ,وانتي البسي شي سميك  بلا ما تاخدي برد
700,Selim,Male,Ya anne bizim bir tane daha asılıcımız olacaktı.  Nereye koymuştuk hatırlıyor musun?,يا أمي، أليس لدينا مدفأة أخرى؟ أين وضعناها؟ هل تتذكرين؟ ,إمي ، نحنا كان في عنا دفاية غيرها ، بتتذكري وين حطيناها ؟
701,Melek,Female,Doğru diyorsun.  Hadi o zaman.,أنت محق. هيا إذًا. ,مزبزط يلي عم تقولو ، يلا خلينا ندور
702,İnci,Female,Sana da iyi geceler Melik teyze.,وأنتِ أيضًا، ليلة سعيدة يا خالة ميليك. ,وانتي كمان تصبحي على خير خالة ملك
703,İnci,Female,Elif abla Hakkı abi yasın.,يا أختي إليف، أخي حقي حزين. ,صحيح اليف ، شو صار مع حقي ؟
704,Hakkı,Male,Ama olsun evde olmaktan iyidir.,ولكن أفضل من أن نكون في المنزل. ,بس مو مشكلة ،  هون أفضل من بيتنا
705,Aliya,Female,Isındım yavrum ısındım sağ olasın.,أصبحت دافئة يا عزيزي، شكرًا لك. ,ايه الحمدلله دفيت ابني شكرا الك
706,Aliya,Female,İnatla bir yere varılmaz bilmiyor musun?,ألا تعلم أن الإصرار لا يصل إلى مكان؟,ما بتعرف انو ما رح توصل لشي بالعناد ؟؟؟
707,Tülay,Female,Haddimiz olmadan işimize karıştığımız için kızıyorsun bize ama,أنتِ تغضبين منا لتدخلنا في أعمالنا بدون أن يكون لنا حق في ذلك، لكن,انتي كتير مزعوجة ، لانو نحنا تجاوزنا حدنا واتدخلنا بأمورك
708,Faysal,Male,şey böyle golcü rövaş atacı adamı sen şöyle orta sahaya niye çekiyorsun kardeşim,هكذا الهدف ضع اللاعب لماذا تسحبه إلى الوسط يا أخي,هو دائماً بيلعب بالنص ، ليش لحتى يترك نص الملعب ويروح عالجناح اليمين ؟
709,Faysal,Male,Lan oğlum seninle futbol konuşanda kabahat be.  Sen ne anlatsın ki futboldan?,يا ولدي، من يتحدث معك عن كرة القدم خاطئ. ماذا تعرف أنت عن كرة القدم؟,أنا غلطان لاني عم بحكي معك بكرة القدم ، شو يلي بيفهمك  بهاللعبة ؟؟
710,İsal,Female,Sen dalgın gibisin.  Bir problem yok değil mi?,أنت تبدو شاردة. لا يوجد مشكلة، أليس كذلك؟,مبين انك شاردة ، في شي مشكلة يا ترى ؟
711,Selim,Male,Hadi bir eksiğin kalmadığına göre artık sınıfa gidebilirsin sen de.,حسنًا بما أنه لم يعد لديك نقص يمكنك الذهاب إلى الصف الآن.,بما انو ما ضل اي شي نا قص ، يلا روحي على صفك
712,Murat,Male,"Ben burada kendim için değil,  senin için.",أنا هنا ليس لنفسي، ولكن لأجلك.,انا ما عم قول هيك مشاني
713,Murat,Male,Senin bu karışık komşuların var ya,أولئك الجيران الغريبين لديك,مو أنا هون كتير قريب من أهل الحارة ؟
714,Murat,Male,Sen böyle galiba elini yüzünü ağzını  gidip bu perdeleri siliyormuşsun.,يبدو أنك تنظفين يديك وفمك بهذه الستائر. ,قال انتي ، عالاغلب بتمسحي وحهك وايديكي ، بالبرداية بدل المنشفة
715,Tülay,Female,Muratcığım maşallah sabah sabah böyle pekivensin çalışmaya.,مراد الحبيب، تبارك الله، منذ الصباح وأنت هكذا نشط في العمل. ,ماشاء مراد شو هالنشاط انت بلشت الشغل من الصبح عبكير
716,Faysal,Male,Yok yok hayatım yok sen git alışverişini yap hadi.,لا، لا حبيبتي، اذهبي لتتسوّقي هيا. ,لأ نحنا ما بدنا شي انتي روحي بلا ما تتأخري
717,Faysal,Male,Bizim armuda bak sen ya.,انظري إلى كمثرى!,شوفو هالغبي عم يشتغل !
718,Murat,Male,Sana bir şey diyeyim mi?,هل أقول لك شيئًا؟,انت صدقتني هلق ؟
719,Arkut,Male,"Senin şirketin falan var, ha?","لديك شركة أليس كذلك؟
",بالشركة تبعتك غونجا ، آآ ه ؟
720,Arkut,Male,"Çiftliğe gidiyordun sen, onu vermek için.",كنت تذهبين إلى المزرعة، لتسليمها.,كنتي رايحة عالمزرعة ، لتسلمي التقرير
721,Murat,Male,"Karşımızdaki adamlar icra memurları,  farkında mısın?",نحن نتحدث مع موظفي التنفيذ، هل تلاحظين؟,هنن موظفين وبمهمة رسمية
722,Pelin,Female,Onların dizlerinin dibinden hiç ayrılmasın.,وألا يتركوا جانبهم أبداً. ,غير لترجع عيلتي وتكون جنبي
723,Murat,Male,Galiba oluyor ha ne dersin?,أعتقد أن الأمر يحدث، ما رأيك؟ ,كأنو مشي الحال مو هيك ؟
724,Ayla,Female,Sağolsun abim bir telefonla halletti.,شكرًا لأخي الذي حل كل شيء بمكالمة. ,كتر خير أخي بتلفون واحد حلها
725,Faysal,Male,Ben sana bir şey diyeyim mi?  Aile olmasaydı şimdi sizi böyle baş başa vermiş ağlaşıyorduk ha.,دعني أخبرك شيئاً، لو لم يكن هنالك عائلة لكنا نبكي الآن.,بتعرف مراد ، لو آيلا ما اجت وانقذتلنا السيارة ، لتبهدلنا كتير
726,Faysal,Male,Allah kırk bin kere razı olsun.  Vallahi sayesinde yırttık ha.,الله يجزينا ألف خير، بفضله نجونا.,قد ما شكرناه ما منردلوا معروفو ، خلصنا من مصيبة كبيرة
727,Murat,Male,Baba farkında mısın bilmiyorum ama  öyle çok da yırtmış sayılmayız yani.,يا بابا، لا أدري إذا كنت تدرك ولكننا لم ننجُ كثيراً.,بابا ، رجاء لا تفرح بسرعة لسه ما خلصنا من المصيبة
728,Faysal,Male,Yok ya yok sen kal.,لا، لا، ابق أنت.,لاء انت خليك هون
